Id,SalePrice
1461,109523.05037951689
1462,155370.9836521465
1463,174469.48161226106
1464,190023.52473352684
1465,209321.1962001686
1466,173224.33463419953
1467,178952.19294580285
1468,163519.96746109167
1469,206418.96387875138
1470,117661.50064096267
1471,185796.3379212816
1472,104575.46090727106
1473,96963.45532837034
1474,149317.3644589234
1475,111846.93668515951
1476,360273.18915786117
1477,255392.84456048865
1478,326826.99742381147
1479,324896.46519127884
1480,429646.26120971027
1481,309033.1904008435
1482,222416.08199940698
1483,172776.63609272364
1484,167923.23770348556
1485,187704.2765622814
1486,196301.27700052256
1487,337795.4851484088
1488,231695.74070884078
1489,193986.58125942337
1490,236490.30247021685
1491,195815.2398336131
1492,92925.21678761035
1493,214793.15746967323
1494,296385.5243309124
1495,295733.66981557984
1496,242526.72965218787
1497,175217.82986583866
1498,166620.8587695995
1499,164405.53136622437
1500,158829.2230749894
1501,184905.27045810537
1502,154181.8368821078
1503,272772.46764863736
1504,231143.52160622267
1505,214938.32271568893
1506,196288.99358388592
1507,236157.91321930496
1508,195167.91843666873
1509,160953.27662620918
1510,143648.88291741523
1511,142908.02034202573
1512,173121.4611003456
1513,158970.27732163132
1514,153678.952633497
1515,208896.99775274383
1516,158713.77459009644
1517,181664.33470524877
1518,126381.43427343172
1519,213166.09573061528
1520,128456.16332847271
1521,127837.06138774757
1522,181601.58696305845
1523,106704.46789645737
1524,119950.42638651808
1525,114650.52694832654
1526,98473.49661039765
1527,106369.11376367391
1528,144061.00774822893
1529,146257.77961175103
1530,204250.5866049742
1531,134048.4512460319
1532,95668.4721572369
1533,150628.29157558343
1534,128854.29538618741
1535,144074.35192643202
1536,103437.22175616393
1537,55859.32244230996
1538,173894.48487253685
1539,211996.91210060532
1540,119314.29282047892
1541,136656.08346077392
1542,132346.53537354802
1543,185890.23258846672
1544,80718.10132048235
1545,123445.68204775502
1546,136354.8040191012
1547,123956.46602679731
1548,138512.02949441742
1549,121459.7847979312
1550,138231.18624653033
1551,113858.27916364261
1552,140568.0237154115
1553,148472.47685416148
1554,126355.22713512082
1555,155852.78126242693
1556,88093.20947519556
1557,99611.24028039804
1558,106815.36043216058
1559,80985.01935012668
1560,131785.10547320184
1561,132221.40607046592
1562,130716.91664901291
1563,120893.95421541123
1564,155908.07184617507
1565,147294.11941315242
1566,232654.8722172372
1567,75300.15412056116
1568,220232.93877826858
1569,123527.724802567
1570,142782.75484220003
1571,117782.68840269724
1572,143319.954638108
1573,238965.71516372584
1574,138573.64525327142
1575,232312.65747875677
1576,236413.7378092885
1577,181500.2543635728
1578,151078.86573935588
1579,140969.7916728543
